slug,parent,title,file_path,target_user,goal,status,post_type,seo_title,seo_keywords,seo_description,handson_overview
go-cicd,cicd-master,Go CI/CD,contents/gitlab/contents/cicd-master/language-specific/go-cicd.md,DevOpsエンジニア,"Go言語プロジェクトのCI/CDパイプラインを構築し、効率的なビルド・テスト・デプロイ自動化を実現できるようになる",not_started,pages,Go GitLab CI/CDガイド | 高速ビルド・テスト・デプロイ自動化,"Go CI/CD, GitLab Go, Go言語 テスト, Go バイナリ デプロイ","Go言語プロジェクトのGitLab CI/CDパイプライン構築を詳細解説。高速ビルド、テスト実行、クロスプラットフォームデプロイまで実践的に学習できます。","Go環境セットアップ、依存関係管理、go testテスト実行、バイナリビルド、デプロイメント設定の実装手順"
docker-cicd,cicd-master,Docker CI/CD,contents/gitlab/contents/cicd-master/language-specific/docker-cicd.md,DevOpsエンジニア,"Dockerイメージのビルドからレジストリへのプッシュまで、コンテナベースのCI/CDパイプラインを構築できるようになる",not_started,pages,Docker GitLab CI/CDガイド | イメージビルド・レジストリ・デプロイ,"Docker CI/CD, GitLab Docker, コンテナ ビルド, Docker Registry","DockerイメージのCI/CDパイプライン構築を詳細解説。Dockerfileビルド、GitLab Container Registry、Kubernetesデプロイまで包括的にカバーします。","Dockerfile作成、イメージビルド、GitLab Container Registryへのプッシュ、セキュリティスキャン、デプロイメント設定の実装手順"
multi-stage-builds,cicd-master,マルチステージビルド,contents/gitlab/contents/cicd-master/advanced-pipelines/multi-stage-builds.md,DevOpsエンジニア,"マルチステージビルドの設計と実装を習得し、複雑なアプリケーションの効率的なCI/CDパイプラインを構築できるようになる",not_started,pages,GitLab マルチステージビルドガイド | 複雑アプリの効率的CI/CD,"GitLab マルチステージビルド, 複雑パイプライン, ステージ依存関係","GitLabのマルチステージビルド設計を詳細解説。複雑なアプリケーションの効率的なビルドプロセスとステージ間依存関係を実践的に学習できます。","マルチステージパイプラインの設計、ステージ間のアーティファクト共有、並列ビルド設定、最適化技術の実装手順"
parallel-execution,cicd-master,並列実行,contents/gitlab/contents/cicd-master/advanced-pipelines/parallel-execution.md,DevOpsエンジニア,"並列実行の設計と実装を習得し、CI/CDパイプラインの実行時間を大幅に短縮できるようになる",not_started,pages,GitLab 並列実行マスターガイド | CI/CD高速化テクニック,"GitLab 並列実行, パイプライン 高速化, 並列ジョブ, CI/CD 最適化","GitLabの並列実行機能を詳細解説。ジョブの並列化からマトリックスビルドまで、CI/CDパイプラインの大幅な高速化技術を習得できます。","並列ジョブ設定、マトリックスビルド設定、リソース管理、実行時間最適化の実装手順"
cache-strategy,cicd-master,キャッシュ戦略,contents/gitlab/contents/cicd-master/advanced-pipelines/cache-strategy.md,DevOpsエンジニア,"効果的なキャッシュ戦略を設計し、ビルド時間の短縮とリソース使用量の最適化を実現できるようになる",not_started,pages,GitLab キャッシュ戦略完全ガイド | ビルド高速化とコスト削減,"GitLab キャッシュ, ビルド高速化, 依存関係キャッシュ, CI/CD 最適化","GitLab CI/CDのキャッシュ戦略を詳細解説。依存関係、ビルド成果物の効果的なキャッシュ活用でビルド時間とコストを大幅削減できます。","キャッシュ設定、キー設計、スコープ設定、キャッシュ最適化戦略の実装手順"
conditional-execution,cicd-master,条件付き実行,contents/gitlab/contents/cicd-master/advanced-pipelines/conditional-execution.md,DevOpsエンジニア,"条件付き実行ルールを設計し、効率的で無駄のないパイプラインを構築できるようになる",not_started,pages,GitLab 条件付き実行ガイド | スマートパイプライン設計,"GitLab 条件付き実行, パイプライン制御, ルールベース実行, CI/CD 最適化","GitLabの条件付き実行機能を詳細解説。ブランチ、変更ファイル、環境に基づくスマートなパイプライン制御で効率性を最大化できます。","実行条件設定、ルール定義、変更ベース実行、ブランチ別パイプライン設定の実装手順"
pipeline-optimization,cicd-master,パイプライン最適化,contents/gitlab/contents/cicd-master/advanced-pipelines/pipeline-optimization.md,DevOpsエンジニア,"包括的なパイプライン最適化技術を習得し、高速で効率的なCI/CDパイプラインを実現できるようになる",not_started,pages,GitLab パイプライン最適化完全ガイド | 高速・効率化テクニック,"GitLab パイプライン最適化, CI/CD 高速化, パフォーマンス改善, 効率化","GitLab CI/CDパイプラインの包括的最適化技術を解説。実行時間短縮、リソース効率化、コスト削減の総合的なアプローチを実践的に学習できます。","最適化計画立案、ボトルネック特定、改善実装、パフォーマンス測定の実行手順"
environment-deployment,cicd-master,環境別デプロイ,contents/gitlab/contents/cicd-master/deployment/environment-deployment.md,DevOpsエンジニア,"開発・ステージング・本番環境への適切なデプロイ戦略を設計し、安全で効率的なリリースプロセスを構築できるようになる",not_started,pages,GitLab 環境別デプロイガイド | Dev・Stage・Prod管理戦略,"GitLab 環境別デプロイ, 多段階デプロイ, 環境管理, リリース戦略","GitLabの環境別デプロイ機能を詳細解説。開発・ステージング・本番環境の効果的な管理と安全なリリースプロセスを実践的に学習できます。","環境設定、デプロイ戦略設計、承認フロー設定、ロールバック設定の実装手順"
kubernetes-deployment,cicd-master,Kubernetesデプロイ,contents/gitlab/contents/cicd-master/deployment/kubernetes-deployment.md,DevOpsエンジニア,"GitLabからKubernetesクラスターへの自動デプロイを設定し、コンテナベースのアプリケーション運用を実現できるようになる",not_started,pages,GitLab Kubernetesデプロイガイド | 自動化とGitOpsワークフロー,"GitLab Kubernetes デプロイ, Kubernetes CI/CD, GitOps, Auto DevOps","GitLabからKubernetesへの自動デプロイを詳細解説。GitOpsワークフロー、Auto DevOps、Helmチャートを活用した効率的な運用方法を習得できます。","Kubernetesクラスター接続、デプロイ設定、GitOpsワークフロー実装、監視設定の実行手順"
cloud-deployment,cicd-master,クラウドデプロイ,contents/gitlab/contents/cicd-master/deployment/cloud-deployment.md,DevOpsエンジニア,"AWS・GCP・Azureなどのクラウドプラットフォームへの自動デプロイを設定し、スケーラブルなアプリケーション運用を実現できるようになる",not_started,pages,GitLab クラウドデプロイガイド | AWS・GCP・Azure対応,"GitLab クラウドデプロイ, AWS GCP Azure, サーバーレス デプロイ, クラウド自動化","GitLabから主要クラウドプラットフォームへの自動デプロイを詳細解説。AWS、GCP、Azureでのサーバーレス・コンテナデプロイを実践的に学習できます。","クラウド認証設定、デプロイスクリプト作成、サーバーレス設定、モニタリング連携の実装手順"
approval-workflow,cicd-master,承認ワークフロー,contents/gitlab/contents/cicd-master/deployment/approval-workflow.md,開発チームリーダー,"デプロイメント承認ワークフローを設計し、ガバナンスを保ちながら効率的なリリースプロセスを構築できるようになる",not_started,pages,GitLab 承認ワークフロー設計ガイド | ガバナンスとリリース管理,"GitLab 承認ワークフロー, デプロイ承認, リリース管理, ガバナンス","GitLabの承認ワークフロー機能を詳細解説。デプロイメント承認、リリースゲート、段階的ロールアウトによる安全なリリース管理を実践的に学習できます。","承認ルール設定、承認者設定、承認フロー設計、エスカレーション設定の実装手順"
devsecops,,DevSecOps実装,contents/gitlab/contents/devsecops/devsecops.md,セキュリティエンジニア,"GitLabを活用したDevSecOpsの全体像を理解し、セキュリティを組み込んだ開発プロセス構築の指針を得る",not_started,pages,GitLab DevSecOps実装完全ガイド | セキュリティシフトレフト戦略,"GitLab DevSecOps, セキュリティシフトレフト, セキュリティ自動化, 脆弱性管理","GitLabでのDevSecOps実装を体系的に解説。セキュリティシフトレフトから脆弱性管理まで、安全な開発プロセス構築を包括的に学習できます。",不要
devsecops-overview,devsecops,DevSecOps概要,contents/gitlab/contents/devsecops/security-basics/devsecops-overview.md,セキュリティエンジニア,"DevSecOpsの基本概念と価値を理解し、組織でのDevSecOps導入の必要性と効果を把握する",not_started,pages,DevSecOps入門ガイド | セキュリティ統合開発の基礎知識,"DevSecOps 入門, DevSecOps 概要, セキュリティ統合, アジャイルセキュリティ","DevSecOpsの基本概念から実装メリットまで分かりやすく解説。セキュリティを開発プロセスに統合する手法と効果を理解できます。",不要
shift-left-security,devsecops,セキュリティシフトレフト,contents/gitlab/contents/devsecops/security-basics/shift-left-security.md,セキュリティエンジニア,"シフトレフトセキュリティの概念と実践方法を理解し、開発プロセスの早期段階でセキュリティ対策を組み込めるようになる",not_started,pages,シフトレフトセキュリティ実践ガイド | 開発初期からの脆弱性対策,"シフトレフトセキュリティ, 早期セキュリティ対策, 予防的セキュリティ, 開発プロセス統合","シフトレフトセキュリティの概念と実践方法を詳細解説。開発ライフサイクルの早期段階でのセキュリティ統合により効果的な脆弱性対策を実現できます。",不要
gitlab-security-features,devsecops,GitLabセキュリティ機能,contents/gitlab/contents/devsecops/security-basics/gitlab-security-features.md,セキュリティエンジニア,"GitLabが提供するセキュリティ機能の全体像を把握し、適切なセキュリティツール選択ができるようになる",not_started,pages,GitLab セキュリティ機能完全ガイド | SAST・DAST・コンテナスキャン,"GitLab セキュリティ機能, SAST DAST, セキュリティスキャン, 脆弱性検出","GitLabの包括的セキュリティ機能を詳細解説。SAST、DAST、コンテナスキャン、依存関係スキャンの特徴と活用方法を実践的に学習できます。",不要
sast-setup,devsecops,SAST設定,contents/gitlab/contents/devsecops/security-scanning/sast-setup.md,セキュリティエンジニア,"Static Application Security Testing（SAST）を設定し、ソースコードの静的セキュリティ解析を自動化できるようになる",not_started,pages,GitLab SAST設定完全ガイド | 静的セキュリティ解析自動化,"GitLab SAST, 静的セキュリティ解析, コード脆弱性検出, セキュリティ自動化","GitLabのSAST機能設定を詳細解説。静的セキュリティ解析の自動化でソースコードレベルでの脆弱性検出と修正プロセスを効率化できます。","SAST設定ファイル作成、スキャンルール設定、結果レポート確認、誤検知対応の実装手順"
dast-setup,devsecops,DAST設定,contents/gitlab/contents/devsecops/security-scanning/dast-setup.md,セキュリティエンジニア,"Dynamic Application Security Testing（DAST）を設定し、動的セキュリティテストを自動化できるようになる",not_started,pages,GitLab DAST設定完全ガイド | 動的セキュリティテスト自動化,"GitLab DAST, 動的セキュリティテスト, Webアプリ脆弱性検出, ペネトレーションテスト","GitLabのDAST機能設定を詳細解説。動的セキュリティテストの自動化で実行中アプリケーションの脆弱性検出とセキュリティ強化を実現できます。","DAST設定ファイル作成、テスト対象設定、認証設定、結果分析の実装手順"
container-scanning,devsecops,コンテナスキャン,contents/gitlab/contents/devsecops/security-scanning/container-scanning.md,セキュリティエンジニア,"コンテナイメージのセキュリティスキャンを設定し、コンテナベースアプリケーションの脆弱性対策を自動化できるようになる",not_started,pages,GitLab コンテナスキャン設定ガイド | Dockerイメージ脆弱性検出,"GitLab コンテナスキャン, Docker セキュリティ, イメージ脆弱性検出, コンテナセキュリティ","GitLabのコンテナスキャン機能を詳細解説。Dockerイメージの脆弱性検出とセキュリティ強化により安全なコンテナ運用を実現できます。","コンテナスキャン設定、イメージスキャン実行、脆弱性レポート確認、修正対応の実装手順"
dependency-scanning,devsecops,依存関係スキャン,contents/gitlab/contents/devsecops/security-scanning/dependency-scanning.md,セキュリティエンジニア,"依存関係の脆弱性スキャンを設定し、サードパーティライブラリのセキュリティリスク管理を自動化できるようになる",not_started,pages,GitLab 依存関係スキャン設定ガイド | ライブラリ脆弱性管理,"GitLab 依存関係スキャン, ライブラリ脆弱性, サードパーティ セキュリティ, 依存関係管理","GitLabの依存関係スキャン機能を詳細解説。サードパーティライブラリの脆弱性検出と管理により安全な依存関係管理を実現できます。","依存関係スキャン設定、脆弱性データベース更新、アラート設定、更新対応の実装手順"
secret-detection,devsecops,シークレット検知,contents/gitlab/contents/devsecops/security-scanning/secret-detection.md,セキュリティエンジニア,"シークレット検知機能を設定し、機密情報の誤コミットを防止できるようになる",not_started,pages,GitLab シークレット検知設定ガイド | 機密情報漏洩防止,"GitLab シークレット検知, 機密情報保護, APIキー検出, 認証情報管理","GitLabのシークレット検知機能を詳細解説。APIキー、パスワード、証明書の誤コミット検出により機密情報漏洩リスクを大幅に削減できます。","シークレット検知設定、カスタムルール設定、アラート設定、修正対応の実装手順"
vulnerability-reports,devsecops,脆弱性レポート,contents/gitlab/contents/devsecops/vulnerability-management/vulnerability-reports.md,セキュリティエンジニア,"脆弱性レポートの確認と分析方法を習得し、セキュリティリスクの適切な評価と優先順位付けができるようになる",not_started,pages,GitLab 脆弱性レポート活用ガイド | セキュリティリスク分析と対応,"GitLab 脆弱性レポート, セキュリティリスク評価, CVSS スコア, 脆弱性管理","GitLabの脆弱性レポート機能を詳細解説。脆弱性の分析、優先順位付け、トラッキングによる効果的なセキュリティリスク管理を実現できます。","脆弱性レポート確認、リスク評価、優先順位設定、トラッキング設定の実行手順"
remediation-guide,devsecops,修復ガイド,contents/gitlab/contents/devsecops/vulnerability-management/remediation-guide.md,セキュリティエンジニア,"脆弱性の修復手順と対応戦略を理解し、効果的なセキュリティ問題解決ができるようになる",not_started,pages,GitLab 脆弱性修復完全ガイド | セキュリティ問題解決戦略,"GitLab 脆弱性修復, セキュリティ問題解決, パッチ管理, セキュリティ対応","GitLabでの脆弱性修復プロセスを詳細解説。効果的な修復戦略、パッチ適用、検証手順により迅速で確実なセキュリティ問題解決を実現できます。","修復計画立案、パッチ適用、修復検証、再スキャン実行の実行手順"
policy-settings,devsecops,ポリシー設定,contents/gitlab/contents/devsecops/vulnerability-management/policy-settings.md,セキュリティエンジニア,"セキュリティポリシーの設定と運用を習得し、組織のセキュリティ基準を自動的に適用できるようになる",not_started,pages,GitLab セキュリティポリシー設定ガイド | 組織セキュリティ基準の自動適用,"GitLab セキュリティポリシー, セキュリティ基準, 自動適用, セキュリティガバナンス","GitLabのセキュリティポリシー機能を詳細解説。組織のセキュリティ基準の定義と自動適用により一貫性のあるセキュリティガバナンスを実現できます。","ポリシー定義、適用ルール設定、除外設定、違反監視の設定手順"
audit-logs,devsecops,監査ログ,contents/gitlab/contents/devsecops/compliance/audit-logs.md,セキュリティエンジニア,"監査ログの設定と活用方法を習得し、セキュリティイベントの追跡とコンプライアンス対応ができるようになる",not_started,pages,GitLab 監査ログ活用ガイド | セキュリティ監視とコンプライアンス,"GitLab 監査ログ, セキュリティ監視, コンプライアンス, ログ分析","GitLabの監査ログ機能を詳細解説。セキュリティイベントの記録、分析、レポート生成によりコンプライアンス要件と監査対応を効率化できます。","監査ログ設定、ログ収集設定、分析ダッシュボード構築、レポート生成の設定手順"
branch-protection,devsecops,ブランチ保護,contents/gitlab/contents/devsecops/compliance/branch-protection.md,セキュリティエンジニア,"ブランチ保護ルールを設定し、コードの品質とセキュリティを保護できるようになる",not_started,pages,GitLab ブランチ保護設定ガイド | コード品質・セキュリティ保護,"GitLab ブランチ保護, コード品質保護, マージルール, セキュリティゲート","GitLabのブランチ保護機能を詳細解説。マージルール、レビュー必須化、セキュリティチェックの自動化により高品質で安全なコード管理を実現できます。","ブランチ保護ルール設定、マージ要件設定、承認ルール設定、セキュリティゲート設定の実装手順"
access-control,devsecops,アクセス制御,contents/gitlab/contents/devsecops/compliance/access-control.md,セキュリティエンジニア,"アクセス制御とロールベース認可を設定し、適切なセキュリティレベルでのプロジェクト管理を実現できるようになる",not_started,pages,GitLab アクセス制御設定ガイド | ロールベース認可とセキュリティ,"GitLab アクセス制御, ロールベース認可, 権限管理, セキュリティ設定","GitLabのアクセス制御機能を詳細解説。ロールベース認可、権限管理、多要素認証により強固なセキュリティ体制とガバナンスを確立できます。","ロール設定、権限割り当て、アクセス制御ルール設定、多要素認証設定の実装手順"
enterprise,,エンタープライズ運用,contents/gitlab/contents/enterprise/enterprise.md,エンタープライズアーキテクト,"GitLabのエンタープライズ環境での運用に必要な要素を理解し、大規模組織での導入戦略を立案できるようになる",not_started,pages,GitLab エンタープライズ運用完全ガイド | 大規模組織導入戦略,"GitLab エンタープライズ, 大規模運用, 組織導入, セルフホスト","GitLabの大規模エンタープライズ環境での運用を体系的に解説。セルフホスト構築から組織管理まで、企業レベルの導入と運用を包括的に学習できます。",不要